ContestName,WA7BNM_ID
7QP,404
ALL-ASIAN-DX-CW,47
ALL-ASIAN-DX-SSB,102
ALL JA,0
AP-SPRINT,0
ARCI,0
ARI-DX,9
ARRL-10,199
ARRL-DIGI,716
ARRL-160,194
ARRL-DX-CW,256
ARRL-DX-SSB,289
ARRL-SS-CW,177
ARRL-SS-SSB,178
ARRL-VHF-JAN,231
ARRL-VHF-JUN,43
ARRL-VHF-SEP,0
ARIZONA QSO PARTY,482
BALTIC,28
BWQP,0
CIS,0
CALIFORNIA QSO PARTY,140
COUNTY HUNTER,0
CQ-160-CW,232
CQ-160-SSB,259
CQ-M,14
CQ-VHF,73
CQ-WPX-CW,29
CQ-WPX-SSB,291
CQ-WPX-RTTY,245
CQ-WW-CW,192
CQ-WW-SSB,172
CROATIAN,206
RF-CUP-CW,0
RF-CUP-SSB,0
RF-CUP-DIG,0
URAL-CUP,0
EU-SPRINT-SPRING-CW,317
EUROPEAN HFC,82
EUROPEAN VHF,0
TESLA,0
ARRL-FD,57
FISTS,251
FOC MARATHON,0
FLORIDA QSO PARTY,325
GACW-WWSA-CW,45
GAGARIN-CUP,367
GENERAL QSO,0
GRID LOC,0
HA DX,228
YUDX,0
UKEI,0
HELVETIA,326
IARU-HF,67
INTERNET SPRINT,0
RSGB-IOTA,75
JIDX-CW,314
JIDX-SSB,184
JA LONG PREFECT,0
MONGOLIAN DX,0
KCJ,244
KIDS DAY,224
KVP,0
LABRE,761
LZ DX,187
MARCONI MEMORIAL,56
MINITEST,0
MINI80,0
MINI40,0
MICHIGAN QSO PARTY,323
MINNESOTA QSO PARTY,238
MISSOURI QSO PARTY,327
NAQP-CW,218
NAQP-SSB,229
NAQP-RTTY,263
NA-SPRINT-CW,253
SSB-SPRINT,242
NA-SPRINT-RTTY,155
NCCC-SPRINT,44
NEQP,10
NC QSO PARTY,0
NRAU-BALTIC-CW,0
NRAU-BALTIC-SSB,220
NZ FIELD DAY,222
OCEANIA-DX-CW,151
OCEANIA-DX-SSB,142
OHIO QSO PARTY,100
OK-OM DX CW,185
RADIO-ONY,0
OZCHR-TEAMS,0
OZCHR,0
PACC,249
POTA,0
QCWA,0
QCWA GOLDEN,0
CANADA WINTER,205
RF-VHF-FD,0
RAEM,209
RDAC,94
REGION 1 FIELD DAY,0
REGION 1 FIELD DAY-RCC-CW,0
REGION 1 FIELD DAY-RCC-SSB,0
RF-CHAMP-CW,0
RF-CHAMP-SSB,0
AS-CHAMP,0
RSGB-ROPOCO-CW,77
RSGB-ROPOCO-SSB,361
RSGB-160,0
RDXC,310
SAC-CW,121
YBDX,621
SAC-SSB,131
SALMON RUN,126
SOUTH AMERICAN WW,0
SP DX,312
STEW-PERRY,207
TEN TEN,0
TEXAS QSO PARTY,133
TOEC,0
R4W-CHAMP,0
UBA-DX-CW,261
UBA-DX-SSB,235
UCG,0
UKRAINE CHAMPIONSHIP,0
UKRAINIAN,176
DARC-WAEDC-CW,85
DARC-WAEDC-SSB,111
DARC-XMAS,210
WAG,163
WISCONSIN QSO PARTY,330
WWL,0
WW PMC,471
XMAS,0
YO-DX-HF,98
SRR-JR,0
RU3AX MEMORIAL,202
LOCUST QSO PARTY,446
ARKTIKA-SPRING,0
UN DX,0
NY-QSO-PARTY,473
KING-OF-SPAIN-CW,23
KING-OF-SPAIN-SSB,59
WRTC,0
TENNESSEE QSO PARTY,115
COLORADO QSO PARTY,431
R9W-UW9WK-MEMORIAL,0
PCC,0
RADIO-MEMORY,0
DARC-10M,223
REF-CW,233
REF-SSB,260
BLACK SEA CUP,470
CQMM,21
SA-SPRINT,0
CWOPS,498
OZHCR-VHF,0
CANADA DAY,60
CQ-WW-RTTY,130
CWOPEN,532
MAKROTHEN-RTTY,159
EU-SPRINT-SPRING-SSB,316
EU-SPRINT-AUTUMN-CW,152
EU-SPRINT-AUTUMN-SSB,143
ARRL-RTTY,217
CQIR,434
WWIH,552
ALRS-UA1DZ-CUP,0
WINTER FIELD DAY,421
RADIO-YOC,0
PA QSO PARTY,153
IN QSO PARTY,0
OK-OM DX SSB,567
BATAVIA-FT8,10686
WWDIGI,650
MWC,0
IRTS,0
EUDX,0
BCQP,269
VAQP,302
YOTA,0
IN7QPNE,0
MST,720
SST,681
RTC,782
